district,hazard,rp,hhid,affected_cat,helped_cat,index,N_children,c,c_min,const,dc0,dc0_prv,dc0_pub,dc_net,dc_net_t0,dc_pre_reco,dc_t,di0_pub,di_prv_t,di_pub_t,di_t,dk0,dk_private,dk_prv_t,dk_public,dw,dw_curr_no_clip,ethnicity,frac_remittance,gsp_samurdhi,help_fee,hh_reco_rate,integ,intermed_sf_num,k,optimal_hh_reco_rate,pc_fee,pcsamurdhi,pcsoc,pcwgt,pov_line,sav_delta,sav_f,sav_i,sav_offset_to,scale_fac_soc,sub_savings_q1,sub_savings_q3,t_exhaust_sav,t_pov_cons,t_pov_inc,t_start_prv_reco,welf_class,wprime_hh,dw_curr,dw_tot
Batticaloa,PF,5,5127151,a,helped,48352,2.0,59156.54766182281,45477.532103761216,0.008222967716309013,46435.181532340466,46435.181532340466,0.0,46434.18,0.0,0.0,46434.18,0.0,46434.18,0.0,46434.18,144259.0,144259.0,144259.0,0.0,0.04889543076472289,4026307.7451350205,3.0,0.0,0.0,,0.0,7.154729583732038,1986229.708662484,183784.10316553627,0.055000000000000014,,0.0,0.0,13.768497692778157,53130.04807568707,0.0,-5.115907697472721e-13,4925.06,0.0,2.9540998610480387e-06,1.0,1.0,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,6.950175459288825e-08,3346211.857544976,46072310.24015491
Batticaloa,PF,25,5127151,a,helped,48354,2.0,59156.54766182281,45477.532103761216,0.008222967716309013,46571.337049765236,46571.337049765236,0.0,46570.34,0.0,0.0,46570.34,0.0,46570.34,0.0,46570.34,144682.0,144682.0,144682.0,0.0,0.04889543076472289,4066939.126319489,3.0,0.0,0.0,,0.0,7.226931353539543,2644575.8270593537,183784.10316553627,0.045,,0.0,0.0,18.27854071038107,53130.04807568707,0.0,0.0,4925.07,0.0,4.098557837265731e-06,1.0,1.0,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,6.950175459288825e-08,3346211.857544976,61163869.6636957
Batticaloa,PF,250,5127151,a,helped,48357,2.0,59156.54766182281,45477.532103761216,0.008222967716309013,44818.374998003295,44818.374998003295,0.0,44817.37,0.0,0.0,44817.37,0.0,44817.37,0.0,44817.37,139236.0,139236.0,139236.0,0.0,0.04889543076472289,3589139.3585715485,3.0,0.0,0.0,,0.0,6.377883454124231,3065313.958778105,183784.10316553627,0.05500000000000001,,0.0,0.0,22.015240015355978,53130.04807568707,0.0,5.684341886080801e-13,4925.07,0.0,4.974073972975061e-06,1.0,1.0,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,6.950175459288825e-08,3346211.857544976,73667657.18608281
Batticaloa,PF,500,5127151,a,helped,48358,2.0,59156.54766182281,45477.532103761216,0.008222967716309013,47259.19601131781,47259.19601131781,0.0,47258.2,0.0,0.0,47258.2,0.0,47258.2,0.0,47258.2,146819.0,146819.0,146819.0,0.0,0.04889543076472289,4282806.776499203,3.0,0.0,0.0,,0.0,7.610527134258915,3466298.264603828,183784.10316553627,0.045,,0.0,0.0,23.609330295151363,53130.04807568707,0.0,0.0,4925.07,0.0,5.5955408596818185e-06,1.0,1.0,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,6.950175459288825e-08,3346211.857544976,79001820.98233132
Batticaloa,PF,1000,5127151,a,helped,48359,2.0,59156.54766182281,45477.532103761216,0.008222967716309013,47086.34609912607,47086.34609912607,0.0,47085.35,0.0,0.0,47085.35,0.0,47085.35,0.0,47085.35,146282.0,146282.0,146282.0,0.0,0.04889543076472289,4226821.398794819,3.0,0.0,0.0,,0.0,7.511041386155838,4257391.082231703,183784.10316553627,0.045,,0.0,0.0,29.103998319900622,53130.04807568707,0.0,-3.410605131648481e-13,4925.08,0.0,6.503017185074253e-06,1.0,1.0,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,6.950175459288825e-08,3346211.857544976,97388144.28002052
Kalutara,PF,5,13212571,a,helped,146640,0.0,48210.03660827433,45477.532103761216,0.009108802067266076,39236.64254489939,39236.64254489939,0.0,39235.64,0.0,0.0,39235.64,0.0,39235.64,0.0,39235.64,121895.0,121895.0,121895.0,0.0,0.04889543076472289,5084906.3631738415,1.0,0.0,0.0,,0.0,8.157114109265901,2996316.7297069565,149776.12270885444,0.045,,0.0,0.0,24.581129084104816,54613.07555852637,0.0,4.831690603168681e-13,4013.4,0.0,1.599638673164452e-05,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,9.446997666978255e-08,3346211.857544976,82253665.61307521
Kalutara,PF,500,13212571,a,helped,146646,0.0,48210.03660827433,45477.532103761216,0.009108802067266076,35881.036707657695,35881.036707657695,0.0,35880.04,0.0,0.0,35880.04,0.0,35880.04,0.0,35880.04,111470.0,111470.0,111470.0,0.0,0.04889543076472289,3767896.5403715363,1.0,0.0,0.0,,0.0,6.044390955615336,5649249.848058475,149776.12270885444,0.065,,0.0,0.0,50.67955367415874,54613.07555852637,0.0,3.410605131648481e-13,4013.41,0.0,3.1804740178708814e-05,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,9.446997666978255e-08,3346211.857544976,169584523.43955702
Kalutara,PF,1000,13212571,a,helped,146647,0.0,48210.03660827433,45477.532103761216,0.009108802067266076,37719.94089453173,37719.94089453173,0.0,37718.94,0.0,0.0,37718.94,0.0,37718.94,0.0,37718.94,117183.0,117183.0,117183.0,0.0,0.04889543076472289,4411032.258524388,1.0,0.0,0.0,,0.0,7.076097552753736,6164595.732434446,149776.12270885444,0.055000000000000014,,0.0,0.0,52.606570342408425,54613.07555852637,0.0,-3.410605131648481e-13,4013.42,0.0,3.0667964614699453e-05,1.0,1.0,10.0,10.019267822736055,10.019267822736055,-1.0,3.0,9.446997666978255e-08,3346211.857544976,176032729.46454093
Trincomalee,PF,5,5326031,a,helped,301376,0.0,52829.59776690903,45477.532103761216,0.008701444282279324,42310.08902294647,42310.08902294647,0.0,42308.97,0.0,0.0,42308.97,0.0,42308.97,0.0,42308.97,131443.0,131443.0,131443.0,0.0,0.04889543076472289,4573129.75024573,2.0,0.0,0.0,,0.0,7.679572108335085,3090065.4799464205,159462.176166974,0.035,,0.0,1500.0,23.50878692624499,51658.79065223539,0.0,2.8421709430404007e-13,4397.9,0.0,6.388529962310674e-06,1.0,1.0,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,8.235387595293849e-08,3346211.857544976,78665381.56909929
Trincomalee,PF,100,5326031,a,helped,301388,0.0,52829.59776690903,45477.532103761216,0.008701444282279324,41847.947051413226,41847.947051413226,0.0,41846.75,0.0,0.0,41846.75,0.0,41846.75,0.0,41846.75,130007.0,130007.0,130007.0,0.0,0.04889543076472289,4396906.898772534,2.0,0.0,0.0,,0.0,7.3836443369981515,4854435.357553806,159462.176166974,0.035,,0.0,1500.0,37.33979983811492,51658.79065223539,0.0,-1.7053025658242404e-13,4397.91,0.0,1.0142093795336812e-05,1.0,1.0,10.0,9.922928709055897,10.019267822736055,-1.0,3.0,8.235387595293849e-08,3346211.857544976,124946880.97665611
