,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,ethnicity,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5,521411,helped,a,2,2.0,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,25905,0,25905.0,1.8286750243157154e-05,0.0,1.0350000000000006,35149.99338980779,0.0,35149.99338980779,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.012249242167706148,-1,0.0,0.0,22085.0,5101.65,7996.69,13708.0,0.91,120097.35835018128,7251.92,7251.92,0,30570.3,13708.0,319.07,13708.0
1,Ampara,PF,10,521411,helped,a,2,2.0,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9050000000000006,31767,0,31767.0,2.2082037597538624e-05,0.0,0.9050000000000006,38974.317794403556,0.0,38974.317794403556,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.016232846952598825,-1,0.0,0.0,27630.75,5092.620000000001,7996.7,17538.0,0.882,182224.74173788016,9050.25,9050.25,0,34495.94,17538.0,320.98,17538.0
2,Ampara,PF,25,521411,helped,a,2,2.0,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,30827,0,30827.0,2.5766161990400735e-05,0.0,0.9650000000000006,39670.669977904065,0.0,39670.669977904065,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.01614344410549588,-1,0.0,0.0,26566.299999999996,5005.35,7996.7,17455.0,0.851,204590.56674119976,8711.66,8711.66,0,34829.27,17455.0,328.56,17455.0
3,Ampara,PF,50,521411,helped,a,2,2.0,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9650000000000006,29489,0,29489.0,2.8061057512362468e-05,0.0,0.9650000000000006,37948.82366037607,0.0,37948.82366037607,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.014932817806192492,-1,0.0,0.0,25413.220000000005,5076.699999999999,7996.7,16318.0,0.875,207670.09138045166,8333.54,8333.54,0,33317.54,16318.0,321.61,16318.0
4,Ampara,PF,100,521411,helped,a,2,2.0,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,46201,0,46201.0,2.9877454866573622e-05,0.0,0.7150000000000004,47904.92318094999,0.0,47904.92318094999,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.026611853296799045,-1,0.0,0.0,41379.679999999986,5066.2,7996.7,26348.0,0.836,361473.6935007443,13504.08,13504.08,0,43500.97,26348.0,324.75,26348.0
5,Ampara,PF,250,521411,helped,a,2,2.0,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.1150000000000009,23334,0,23334.0,3.104057099083124e-05,0.0,1.1150000000000009,33528.173223616104,0.0,33528.173223616104,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.010629320809925824,-1,0.0,0.0,19649.32,5108.779999999999,7996.71,12070.0,0.916,184637.52968188017,6462.09,6462.09,0,28846.86,12070.0,317.33,12070.0
6,Ampara,PF,500,521411,helped,a,2,2.0,10.304290237838977,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.2150000000000007,21972,0,21972.0,3.5259123598401786e-05,0.0,1.2150000000000007,33768.34177034769,0.0,33768.34177034769,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.010058354790106283,-1,0.0,0.0,18219.38,5019.589999999999,7996.71,11481.0,0.888,192184.5959256181,6003.37,6003.37,0,28664.25,11481.0,324.67,11481.0
7,Ampara,PF,1000,521411,helped,a,2,2.0,10.940873140029225,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.7150000000000004,44865,0,44865.0,3.704778600614003e-05,0.0,0.7150000000000004,46519.650624733695,0.0,46519.650624733695,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.02505127638299039,-1,0.0,0.0,40183.09,5079.240000000001,7996.71,25121.0,0.862,445736.64216136065,13113.58,13113.58,0,42243.04,25121.0,324.32,25121.0
8,Ampara,PF,5,521421,helped,a,2,2.0,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.2150000000000007,17263,0,17263.0,1.8286750243157154e-05,0.0,1.2150000000000007,26531.170761947575,0.0,26531.170761947575,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.010094745035555762,-1,0.0,0.0,14314.630000000001,3923.74,6262.69,9021.0,0.888,97641.0317984098,4716.74,4716.74,0,22520.97,9021.0,255.08,9021.0
9,Ampara,PF,10,521421,helped,a,2,2.0,8.101245134483758,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.0350000000000006,21223,0,21223.0,2.2082037597538624e-05,0.0,1.0350000000000006,28797.07815911564,0.0,28797.07815911564,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.01326253947647213,-1,0.0,0.0,18093.420000000002,3935.3500000000004,6262.69,11519.0,0.885,149531.6485179824,5941.23,5941.23,0,25045.12,11519.0,255.84,11519.0
10,Ampara,PF,25,521421,helped,a,2,2.0,9.449079708703666,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.8450000000000005,28146,0,28146.0,2.5766161990400735e-05,0.0,0.854,29766.0470452883,0.0,29766.0470452883,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.01741503928157117,-1,0.0,0.0,24908.969999999998,3957.0300000000007,6262.69,14585.0,0.97,239271.76967212718,8150.74,8150.74,0,29775.92,14585.0,288.0,14585.0
