,district,hazard,rp,hhid,helped_cat,affected_cat,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5.0,521411,helped,a,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.86350575878,298482.23822773044,1.0350000000000006,26491,0,26491.0,5.68225312919702e-07,0.0,1.0350000000000006,35945.14363996173,0.0,35945.14363996173,1,45477.532103761216,500.0,50.0,0,0.006452423250034839,0.13610686878037456,-1,0.0,0.0,65.46000000000608,0.09000000000015446,8006.34,0.0,0.885,355.9768551674506,21.5,21.5,0,90.62,90.62,0.0,14378.0
1,Ampara,PF,5.0,521421,helped,a,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.7396226009,233759.24517809914,0.9650000000000006,22473,0,22473.0,5.68225312919702e-07,0.0,0.9650000000000006,28920.08440643464,0.0,28920.08440643464,1,45477.532103761216,500.0,50.0,0,0.007291177913142125,0.1543664578568287,-1,0.0,0.0,83.38999999999764,0.09000000000073399,6270.25,0.0,0.899,566.042113029188,27.34,27.34,0,109.32,109.32,0.0,12146.0
2,Ampara,PF,5.0,521431,helped,a,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,106153.01613378567,329789.2799926544,0.9050000000000006,36981,0,36981.0,5.68225312919702e-07,0.0,0.9050000000000006,45371.29892112131,0.0,45371.29892112131,1,45477.532103761216,500.0,50.0,0,0.006138522139138441,0.19399748193785762,-1,0.0,0.0,194.32999999998924,0.0900000000003845,8846.1,0.0,0.858,1054.1243352703373,63.65,63.65,0,242.61,242.61,0.0,20871.0
3,Ampara,PF,5.0,521441,helped,a,1.3326477057779957,0.0,0.0,0.0,0.0,52153.133146515145,114097.59696869811,354470.98654056026,1.2150000000000007,25613,0,25613.0,5.68225312919702e-07,0.0,1.2150000000000007,39364.141821386125,0.0,39364.141821386125,1,45477.532103761216,500.0,50.0,0,0.005920954814369124,0.09734350522541367,-1,0.0,0.0,22.290000000000607,0.09999999999803015,9508.15,0.0,0.912,30.411020645854673,7.35,7.35,0,35.08,35.08,0.0,12990.0
4,Ampara,PF,5.0,521451,helped,a,1.3326477057779957,0.0,0.0,0.0,0.0,52153.133146515145,115579.38394231752,359074.5058462817,0.6750000000000004,58997,0,58997.0,5.68225312919702e-07,0.0,0.6750000000000004,58813.00855410599,0.0,58813.00855410599,1,45477.532103761216,500.0,50.0,0,0.005882877539578337,0.34103339376343417,-1,0.0,0.0,1176.7499999999818,0.14999999999949432,9631.64,0.0,0.859,1588.7159624432136,383.73,383.73,0,1188.43,1180.65,0.0,32935.0
5,Ampara,PF,5.0,521471,helped,a,7.995886234667974,0.0,720.0,720.0,2.7877594928468792e-08,52153.133146515145,49717.95779459116,152220.96471851468,1.1150000000000009,11880,0,11880.0,5.68225312919702e-07,0.0,0.725,4290.425690829945,0.0,4290.425690829945,2,45477.532103761216,500.0,50.0,0,0.008969605760501797,0.16250002154016466,-1,5.799614643545269,5.799614643545269,4041.5600000000036,0.5700000000012053,4143.17,3132.0,8.015,32770.4201030256,1319.2,1319.2,0,4290.55,4261.49,-0.01,3132.0
6,Ampara,PF,5.0,521481,helped,a,5.330590823111983,0.0,1050.0,1050.0,4.065482593735031e-08,52153.133146515145,115980.86811557523,357055.80042100244,0.7550000000000004,49825,0,49825.0,5.68225312919702e-07,0.0,0.7550000000000004,53655.63418751024,0.0,53655.63418751024,1,45477.532103761216,500.0,50.0,0,0.005872686506321973,0.26486796142993435,-1,0.0,0.0,624.8600000000031,0.09999999999939706,9665.09,0.0,0.866,3379.7011936694757,204.08,204.08,0,682.77,682.77,0.0,27901.0
7,Ampara,PF,5.0,522211,helped,a,6.195368639664273,0.0,75.0,0.0,0.0,52153.133146515145,284422.00113435223,883390.4708798284,1.1150000000000009,74270,0,74270.0,5.68225312919702e-07,0.0,1.1150000000000009,106717.17881749503,0.0,106717.17881749503,1,45477.532103761216,500.0,50.0,0,0.0037501479504966095,0.12426847800831904,-1,0.0,0.0,115.4599999999955,0.09999999999827396,23701.89,0.0,0.868,730.8676384211665,37.97,37.97,0,169.51,169.51,0.0,40553.0
8,Ampara,PF,5.0,522221,helped,a,6.195368639664273,1.0,10000.0,0.0,0.0,52153.133146515145,129672.37951033609,371752.8468531203,0.7950000000000005,48359,0,48359.0,5.68225312919702e-07,0.0,0.7950000000000005,54011.46774245206,0.0,54011.46774245206,1,45477.532103761216,500.0,50.0,0,0.005554004860953645,0.21662214257638443,-1,0.0,0.0,480.9299999999836,0.09999999999943725,10806.06,0.0,0.897,3025.508275179946,157.2,157.2,0,545.44,545.44,0.0,26466.0
9,Ampara,PF,5.0,522231,helped,a,7.744210799580341,0.0,94080.0,2880.0,1.1151037971387515e-07,52153.133146515145,100713.4562502218,20255.484945174856,1.1150000000000009,1694,0,1694.0,5.68225312919702e-07,0.0,1.1150000000000009,2435.9859540096477,0.0,2435.9859540096477,1,45477.532103761216,500.0,50.0,0,0.006302113864059151,0.0,-1,0.0,0.0,2.6399999999996644,6450.610000000001,8392.79,0.0,10.0,20.909369158864322,0.92,0.92,0,3.93,0.0,0.07,0.0
