,region,hazard,rp,hhid,helped_cat,affected_cat,province,pcwgt,ispoor,pcwgt_ae,pcsoc,axfin,has_ew,c,pov_line,dk_private,dk_public,dk0,pc_fee_BE,pc_fee,scale_fac_soc,di0_prv,di0_pub,di0,dc0_prv,dc0_pub,dc0,hh_reco_rate,welf_class,c_min,macro_multiplier,dc_npv_pre,help_received,dc_post_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,t_pov_bool,dk_prv_t,sav_f,sav_i,sav_offset_to,di_prv_t,di_pub_t,di_t,dc_t,dc_net,sav_delta
0,ARMM,EQ,1,153829114,helped,a,Maguindanao,0.9376180350922879,0,0.9376180350922879,822.4791037502216,0,1.0,243302.09000000003,22302.6775,142353.59305945708,16275.762792237392,158629.35585169448,0.27632415534694565,0.21869459692111673,3.5408683162971045e-06,45382.916632273256,5188.780435057305,50571.69706733056,215810.63206494274,5188.780435057305,220999.41250000003,1.197214006122674,1,15573.959716184301,1.221092670965582,269860.7628914495,5843.039496960806,0,0.0,0.004054684583948997,0.0,-1.0,0.0,0.0,False,110450.70079018599,222049.315878709,261405.04988353286,0.0,36033.84654740566,4280.605869695605,32372.44188023124,167691.33686688123,0.0,3194.0654359000814
1,ARMM,EQ,1,153893114,helped,a,Maguindanao,0.7552823003862174,0,0.7552823003862174,0.0,0,1.0,98041.71900000001,22302.6775,25201.950223118558,2881.4233270665027,28083.37355018506,0.11172607499369994,0.10152369391108236,3.5408683162971045e-06,8034.485874012259,918.6096636731029,8953.095537685362,74820.4318363269,918.6096636731029,75739.0415,2.650030865510152,1,15573.959716184301,1.102567393650949,83507.39758427607,0.0,0,0.0,0.006387406222212573,0.0,-1.0,0.0,0.0,False,14371.654177906386,98873.57028566988,105336.55385202407,0.0,4821.763640785635,757.8285432373981,5579.592184023033,45660.0716330148,0.0,857.6869437108215
2,ARMM,EQ,1,156627419,helped,a,Sulu,1.6402678738822034,0,1.6402678738822034,0.0,0,1.0,116599.21000000002,22302.6775,29296.48035569665,3349.5646626749062,32646.04501837156,0.13287376245071927,0.12101382355727948,3.5408683162971045e-06,9339.839000245256,1067.8550559815367,10407.694056226792,93228.67744401847,1067.8550559815367,94296.5325,2.8634442576465053,1,15573.959716184301,1.0950799051023372,103262.23786157946,0.0,0,0.0,0.00585709396839272,0.0,-1.0,0.0,0.0,False,15967.759919415508,123299.6528287206,132469.79121574652,0.0,5379.339788346164,880.9520228944149,6260.291811240579,54576.602876868434,0.0,1023.0896764347418
3,ARMM,EQ,1,156642019,helped,a,Sulu,0.6923660802935437,1,0.6923660802935437,0.0,0,1.0,21066.311000000005,22302.6775,25926.07591005482,2964.2150407074646,28890.290950762286,0.024006680693007904,0.013510833412757946,3.5408683162971045e-06,8265.340135336915,945.0040041048755,9210.344139441791,8265.340135336915,945.0040041048755,9210.344139441791,0.0,3,15573.959716184301,5.63268004315001,51878.92162477743,0.0,0,0.0,0.013779572685382052,0.0,-1.0,0.21194605009633913,0.21194605009633913,False,25926.07591005482,16482.96856874233,12574.005061753056,0.0,8265.340135336915,779.6031721686263,9044.943307505542,9044.943307505542,0.0,174.27636430646515
4,ARMM,EQ,1,157025015,helped,a,Tawi-tawi,2.7115561747025616,0,2.7115561747025616,1370.7984756648525,1,1.0,26179.943,22302.6775,13269.616959653575,1517.1597241593054,14786.776683812881,0.02827192719515055,0.02289994548280446,3.5408683162971045e-06,4230.413575047091,483.6767894730768,4714.090364520168,10122.306494342622,483.6767894730768,10605.983283815698,0.4440137900897893,2,15573.959716184301,1.5514944393475492,16455.124088653116,0.0,0,0.0,0.012360773468492348,0.0014085377844104013,-1.0,0.21194605009633913,0.0,True,12077.811559409987,52382.296094181336,48606.252784684366,346.5068750436783,3883.542893519219,399.0204885266285,4282.563382045848,9691.354066630876,346.5068750436783,179.25837234874075
5,ARMM,EQ,1,157260118,helped,a,Basilan,2.340994052994802,0,2.340994052994802,0.0,0,1.0,23040.299000000003,22302.6775,14563.13087169611,1665.051499480144,16228.182371176254,0.026256191753953943,0.02036053574841792,3.5408683162971045e-06,4642.786301621201,530.8252985836085,5173.61160020481,6935.513985232093,530.8252985836085,7466.3392838157015,0.17962156376491156,2,15573.959716184301,2.2783703409617413,17011.08597980322,0.0,0,0.0,0.013176071421869688,0.008230290828981803,-1.0,0.21194605009633913,0.21194605009633913,True,14052.525472300142,12111.320241538777,7487.9830212591705,1699.5586036025845,4495.534968630143,437.9167546862719,4933.451723316415,7466.3392838157015,1699.5586036025845,110.86465095050741
6,ARMM,EQ,1,157260240,helped,a,Basilan,2.340994052994802,1,2.340994052994802,0.0,0,1.0,18463.852000000006,22302.6775,22714.19543824295,2596.989995292591,25311.185433535542,0.021040978618750827,0.011845420969754945,3.5408683162971045e-06,7241.379368359613,827.9311421299814,8069.310510489595,7241.379368359613,827.9311421299814,8069.310510489595,0.0,3,15573.959716184301,5.63268004315001,45451.844274415365,0.0,0,0.0,0.014718679224862093,0.0,-1.0,0.21194605009633913,0.21194605009633913,False,22714.19543824295,20042.156897011973,15893.588264003305,0.0,7241.379368359613,683.0211744479499,7924.400542807563,7924.400542807563,0.0,152.6859449481226
7,ARMM,EQ,1,157260362,helped,a,Basilan,1.3770553526910434,0,1.3770553526910434,0.0,0,1.0,25606.150000000012,22302.6775,24862.19242255012,2842.577680462033,27704.770103012153,0.029180176198256278,0.01911505063677257,3.5408683162971045e-06,7926.1696831982445,906.2255110124021,8832.395194210647,9125.964772803309,906.2255110124021,10032.190283815711,0.05846167754095349,2,15573.959716184301,3.5675818586138086,35790.66005870265,0.0,0,0.0,0.012498498805629702,0.002291536843837584,-1.0,0.21194605009633913,0.0,True,24582.470931720036,12155.835419157262,8321.868370777878,547.9535716002968,7845.826108265269,747.6119466336112,8593.43805489888,10032.190283815711,547.9535716002968,182.6317641026351
8,ARMM,EQ,1,157260484,helped,a,Basilan,1.6524663300693085,0,1.6524663300693085,0.0,0,0.0,25441.725000000002,22302.6775,31441.040521313185,3594.759404859443,35035.79992617263,0.028992801271865605,0.01626428918019459,3.5408683162971045e-06,10023.533643083232,1146.024153016598,11169.55779609983,10023.533643083232,1146.024153016598,11169.55779609983,0.0,3,15573.959716184301,5.63268004315001,62914.54528890213,0.0,0,0.0,0.012538821464144603,0.0,-1.0,0.21194605009633913,0.0,True,31441.040521313185,11765.977595032089,8268.42835496533,0.0,10023.533643083232,945.4394491374552,10968.973092220687,10968.973092220687,0.0,211.34822913720012
9,ARMM,EQ,1,157640114,helped,a,Basilan,0.9277003579106523,0,0.9277003579106523,0.0,0,1.0,32336.271000000008,22302.6775,7821.67334262669,894.2780946160409,8715.951437242731,0.03684966640336656,0.03368326470018698,3.5408683162971045e-06,2493.5817833980313,285.09955201959286,2778.6813354176243,16477.211731796113,285.09955201959286,16762.311283815707,1.7878054139885713,2,15573.959716184301,1.1504275290486408,19283.824351384254,0.0,0,0.0,0.011122054727009101,0.0,-1.0,0.0,0.0,True,5354.729656242898,13391.237126282087,10509.132972081814,0.0,1766.9395214521087,235.19954854462418,2002.1390699967328,11910.868983605464,0.0,225.58876423818904
