,district,hazard,rp,hhid,helped_cat,affected_cat,N_children,ethnicity,pcwgt,frac_remittance,pcsoc,pcsamurdhi,gsp_samurdhi,pov_line,c,k,optimal_hh_reco_rate,dk_private,dk_public,dk0,scale_fac_soc,di0_pub,hh_reco_rate,dc0_prv,dc0_pub,dc0,welf_class,c_min,sub_savings_q1,sub_savings_q3,dc_pre_reco,dw,const,integ,t_start_prv_reco,t_pov_inc,t_pov_cons,dk_prv_t,sav_f,sav_i,sav_offset_to,t_exhaust_sav,intermed_sf_num,di_t,di_prv_t,di_pub_t,dc_t,dc_net,sav_delta,dc_net_t0
0,Ampara,PF,5,521411,helped,a,2,2.0,5.330590823111983,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.8450000000000005,34726,0,34726.0,1.9179039251601874e-05,0.0,0.8450000000000005,40521.09765506525,0.0,40521.09765506525,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.004554407496974302,-1,0.0,0.0,32011.080000000005,18860.24,7997.52,8509.0,1.847,173438.92823390776,10472.88,10472.88,0,37966.25,8509.0,561.65,8509.0
1,Ampara,PF,10,521411,helped,a,2,2.0,6.480996107587006,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.8450000000000005,37253,0,37253.0,2.3909832502279025e-05,0.0,0.8450000000000005,43469.80507239952,0.0,43469.80507239952,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.0051648699697201695,-1,0.0,0.0,34340.52,19378.45,7997.76,9563.0,1.792,226213.98433843837,11234.99,11234.99,0,40729.04,9563.0,594.15,9563.0
2,Ampara,PF,25,521411,helped,a,2,2.0,7.559263766962934,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.1150000000000009,22698,0,22698.0,2.7109407499790836e-05,0.0,1.1150000000000009,32614.31712649517,0.0,32614.31712649517,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.0009925500865583727,-1,0.0,0.0,20386.22,19130.980000000003,7997.89,1957.0,2.523,157451.37585360726,6704.43,6704.43,0,29928.69,1957.0,532.8,1957.0
3,Ampara,PF,50,521411,helped,a,2,2.0,8.021197682071167,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.1150000000000009,22444,0,22444.0,2.921369624599793e-05,0.0,1.1150000000000009,32249.349439909136,0.0,32249.349439909136,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.0009812204197656724,-1,0.0,0.0,20158.079999999998,19161.12,7997.96,1935.0,2.523,165203.22385633178,6629.4,6629.4,0,29593.75,1935.0,526.84,1935.0
4,Ampara,PF,100,521411,helped,a,2,2.0,8.61601669604615,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.1150000000000009,24337,0,24337.0,3.1014795270587114e-05,0.0,1.1150000000000009,34969.36452143418,0.0,34969.36452143418,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.00161136374996436,-1,0.0,0.0,21858.27,18660.480000000003,7998.02,3147.0,2.16,192421.07007196388,7188.54,7188.54,0,32089.78,3147.0,551.07,3147.0
5,Ampara,PF,250,521411,helped,a,2,2.0,9.196914413949381,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.2150000000000007,20390,0,20390.0,3.344036140601792e-05,0.0,1.2150000000000007,31336.996572792163,0.0,31336.996572792163,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.000472926004890708,-1,0.0,0.0,18137.7,18857.63,7998.12,940.0,2.886,170762.05293641062,5976.46,5976.46,0,28535.75,940.0,525.32,940.0
6,Ampara,PF,500,521411,helped,a,2,2.0,10.304290237838977,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,0.9050000000000006,31536,0,31536.0,3.766710698364318e-05,0.0,0.9050000000000006,38690.90836290208,0.0,38690.90836290208,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.003463549151564092,-1,0.0,0.0,28902.93,19454.9,7998.39,6577.0,1.958,303062.983643763,9466.94,9466.94,0,36084.2,6577.0,562.51,6577.0
7,Ampara,PF,1000,521411,helped,a,2,2.0,10.940873140029225,0.0,0.0,0.0,0.0,52153.133146515145,96075.65860047363,298482.23822773044,1.0350000000000006,27381,0,27381.0,3.925938981259152e-05,0.0,1.0350000000000006,37152.74923784316,0.0,37152.74923784316,1,45477.532103761216,1.0,1.0,0,0,0.00645243013073147,0.002307008460852357,-1,0.0,0.0,24782.519999999997,19392.120000000003,7998.49,4458.0,2.049,276603.87246427685,8137.69,8137.69,0,34304.25,4458.0,568.53,4458.0
8,Ampara,PF,5,521421,helped,a,2,2.0,6.663238528889979,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.1150000000000009,19736,0,19736.0,1.9179039251601874e-05,0.0,1.1150000000000009,28358.276623865924,0.0,28358.276623865924,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.0009172382519585958,-1,0.0,0.0,17725.88,17601.800000000003,6263.34,1418.0,2.687,120676.7136137912,5829.52,5829.52,0,26023.08,1418.0,468.74,1418.0
9,Ampara,PF,10,521421,helped,a,2,2.0,8.101245134483758,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.1150000000000009,17936,0,17936.0,2.3909832502279025e-05,0.0,1.1150000000000009,25771.89144333498,0.0,25771.89144333498,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.00033010908632790737,-1,0.0,0.0,16109.210000000001,18440.550000000007,6263.52,515.0,3.509,133338.71771827355,5297.85,5297.85,0,23649.68,515.0,440.89,515.0
10,Ampara,PF,25,521421,helped,a,2,2.0,9.449079708703666,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.0350000000000006,20500,0,20500.0,2.7109407499790836e-05,0.0,1.0350000000000006,27816.053444935715,0.0,27816.053444935715,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.00108235485538659,-1,0.0,0.0,18554.530000000002,17797.89,6263.62,1669.0,2.718,178854.63748706726,6092.64,6092.64,0,25683.39,1669.0,457.8,1669.0
11,Ampara,PF,50,521421,helped,a,2,2.0,10.026497102588957,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,1.0350000000000006,20817,0,20817.0,2.921369624599793e-05,0.0,1.0350000000000006,28246.18461284033,0.0,28246.18461284033,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.001286126337632254,-1,0.0,0.0,18841.45,17787.030000000002,6263.68,1977.0,2.569,192718.89974897823,6186.86,6186.86,0,26080.55,1977.0,459.45,1977.0
12,Ampara,PF,100,521421,helped,a,2,2.0,10.770020870057687,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.9050000000000006,26190,0,26190.0,3.1014795270587114e-05,0.0,0.891,29766.047045288295,0.0,29766.047045288295,2,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.0031896030939374924,-1,0.0,0.0,24125.690000000002,17431.870000000006,6263.73,4763.0,2.249,264333.4687232173,7900.06,7900.06,0,29768.27,4763.0,476.9,4763.0
13,Ampara,PF,250,521421,helped,a,2,2.0,11.496143017436724,0.0,0.0,0.0,0.0,52153.133146515145,75242.57914904952,233759.24517809914,0.9650000000000006,22305,0,22305.0,3.344036140601792e-05,0.0,0.9650000000000006,28703.87302874591,0.0,28703.87302874591,1,45477.532103761216,1.0,1.0,0,0,0.007291185688264953,0.0018842668523645478,-1,0.0,0.0,20324.829999999998,17517.889999999996,6263.81,2870.0,2.386,238042.2412776595,6664.95,6664.95,0,26646.5,2870.0,453.38,2870.0
